Method:GET; URL:/login; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 1 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 10/06/2021; ResponseTime: 1 ms
Method:GET; URL:/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 1 ms
Method:GET; URL:/; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 136 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 10/06/2021; ResponseTime: 14 ms
Method:POST; URL:/developer/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 180 ms
Method:GET; URL:/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 15 ms
Method:POST; URL:/developer/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 37 ms
Method:POST; URL:/developer/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 148 ms
Method:GET; URL:/login; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 27 ms
Method:GET; URL:/register; Status:200; Message: OK; DateTime: 10/06/2021; ResponseTime: 5 ms
Method:GET; URL:/; Status:500; Message: Internal Server Error; DateTime: 15/06/2021; ResponseTime: 229 ms
Method:GET; URL:/; Status:500; Message: Internal Server Error; DateTime: 15/06/2021; ResponseTime: 28 ms
Method:GET; URL:/developer/register; Status:404; Message: Not Found; DateTime: 15/06/2021; ResponseTime: 1 ms
Method:GET; URL:/; Status:500; Message: Internal Server Error; DateTime: 15/06/2021; ResponseTime: 34 ms
Method:GET; URL:/; Status:500; Message: Internal Server Error; DateTime: 15/06/2021; ResponseTime: 23 ms
Method:GET; URL:/; Status:500; Message: Internal Server Error; DateTime: 15/06/2021; ResponseTime: 18 ms
Method:GET; URL:/; Status:500; Message: Internal Server Error; DateTime: 15/06/2021; ResponseTime: 3 ms
Method:GET; URL:/; Status:500; Message: Internal Server Error; DateTime: 15/06/2021; ResponseTime: 5 ms
Method:GET; URL:/; Status:500; Message: Internal Server Error; DateTime: 15/06/2021; ResponseTime: 7 ms
Method:GET; URL:/; Status:500; Message: Internal Server Error; DateTime: 15/06/2021; ResponseTime: 7 ms
Method:GET; URL:/; Status:500; Message: Internal Server Error; DateTime: 15/06/2021; ResponseTime: 3 ms
Method:GET; URL:/; Status:500; Message: Internal Server Error; DateTime: 15/06/2021; ResponseTime: 4 ms
Method:GET; URL:/; Status:200; Message: OK; DateTime: 15/06/2021; ResponseTime: 47 ms
Method:GET; URL:/; Status:200; Message: OK; DateTime: 15/06/2021; ResponseTime: 8 ms
Method:GET; URL://; Status:404; Message: Not Found; DateTime: 15/06/2021; ResponseTime: 3 ms
Method:GET; URL:/; Status:304; Message: Not Modified; DateTime: 15/06/2021; ResponseTime: 6 ms
Method:GET; URL:/; Status:200; Message: OK; DateTime: 19/06/2021; ResponseTime: 8 ms
Method:GET; URL:/login; Status:200; Message: OK; DateTime: 19/06/2021; ResponseTime: 1 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 1 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 1 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/register; Status:200; Message: OK; DateTime: 19/06/2021; ResponseTime: 1 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 2 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 19/06/2021; ResponseTime: 0 ms
Method:GET; URL:/; Status:304; Message: Not Modified; DateTime: 20/06/2021; ResponseTime: 64 ms
Method:GET; URL:/; Status:304; Message: Not Modified; DateTime: 23/06/2021; ResponseTime: 70 ms
Method:GET; URL:/login; Status:304; Message: Not Modified; DateTime: 23/06/2021; ResponseTime: 5 ms
Method:GET; URL:/register; Status:304; Message: Not Modified; DateTime: 23/06/2021; ResponseTime: 2 ms
